geonameid,name,latitude,longitude,admin1_code,admin2_code,population,timezone,city_id,pop_category
5697383,McCook,40.20195,-100.62571,NE,145,7580,America/Chicago,5697383,medium
5697939,North Platte,41.12389,-100.76542,NE,111,24194,America/Chicago,5697939,medium
5699404,Scottsbluff,41.86663,-103.66717,NE,157,14802,America/Denver,5699404,medium
5699552,Sidney,41.14276,-102.97798,NE,033,6942,America/Denver,5699552,medium
5703670,Elko,40.83242,-115.76312,NV,007,20279,America/Los_Angeles,5703670,medium
5708894,Spring Creek,40.72659,-115.5859,NV,007,12361,America/Los_Angeles,5708894,medium
5710360,Winnemucca,40.97296,-117.73568,NV,013,7887,America/Los_Angeles,5710360,medium
5710669,Agate Beach,44.67734,-124.06178,OR,041,12351,America/Los_Angeles,5710669,medium
5710756,Albany,44.63651,-123.10593,OR,043,52175,America/Los_Angeles,5710756,large
5711099,Aloha,45.49428,-122.86705,OR,067,49425,America/Los_Angeles,5711099,large
5711149,Altamont,42.20681,-121.73722,OR,035,19257,America/Los_Angeles,5711149,medium
5711789,Ashland,42.19458,-122.70948,OR,029,20861,America/Los_Angeles,5711789,medium
5711847,Astoria,46.18788,-123.83125,OR,007,9626,America/Los_Angeles,5711847,medium
5712169,Baker City,44.77487,-117.83438,OR,001,9752,America/Los_Angeles,5712169,medium
5713376,Beaverton,45.48706,-122.80371,OR,067,96577,America/Los_Angeles,5713376,large
5713587,Bend,44.05817,-121.31531,OR,017,87014,America/Los_Angeles,5713587,large
5713759,Bethany,45.55789,-122.8676,OR,067,20646,America/Los_Angeles,5713759,medium
5715905,Brookings,42.05261,-124.28398,OR,015,6476,America/Los_Angeles,5715905,medium
5717758,Canby,45.2629,-122.69259,OR,005,17271,America/Los_Angeles,5717758,medium
5718480,Cedar Hills,45.50484,-122.79843,OR,067,8300,America/Los_Angeles,5718480,medium
5718492,Cedar Mill,45.52484,-122.81093,OR,067,14546,America/Los_Angeles,5718492,medium
5718601,Central Point,42.37596,-122.91643,OR,029,17995,America/Los_Angeles,5718601,medium
5719308,Clackamas,45.40762,-122.57037,OR,005,6767,America/Los_Angeles,5719308,medium
5720495,Coos Bay,43.3665,-124.21789,OR,011,16182,America/Los_Angeles,5720495,medium
5720639,Cornelius,45.51984,-123.05983,OR,067,12317,America/Los_Angeles,5720639,medium
5720727,Corvallis,44.56457,-123.26204,OR,003,55780,America/Los_Angeles,5720727,large
5720755,Cottage Grove,43.79762,-123.05952,OR,039,9969,America/Los_Angeles,5720755,medium
5721551,Creswell,43.9179,-123.02453,OR,039,5199,America/Los_Angeles,5721551,medium
5722064,Dallas,44.91928,-123.31705,OR,053,15277,America/Los_Angeles,5722064,medium
5722088,Damascus,45.41762,-122.45898,OR,005,10952,America/Los_Angeles,5722088,medium
5722960,Deschutes River Woods,43.99151,-121.35836,OR,017,5077,America/Los_Angeles,5722960,medium
5724581,Eagle Point,42.47263,-122.80282,OR,029,8902,America/Los_Angeles,5724581,medium
5725846,Eugene,44.05207,-123.08675,OR,039,176654,America/Los_Angeles,5725846,major
5726018,Fairview,45.53845,-122.43398,OR,051,9280,America/Los_Angeles,5726018,medium
5727032,Florence,43.98262,-124.09984,OR,039,8649,America/Los_Angeles,5727032,medium
5727190,Forest Grove,45.51984,-123.11066,OR,067,24457,America/Los_Angeles,5727190,medium
5727382,Four Corners,44.9279,-122.98371,OR,047,15947,America/Los_Angeles,5727382,medium
5728429,Gladstone,45.38068,-122.59481,OR,005,11986,America/Los_Angeles,5728429,medium
5729080,Grants Pass,42.43933,-123.33067,OR,033,37088,America/Los_Angeles,5729080,large
5729293,Green,43.16039,-123.36785,OR,019,7515,America/Los_Angeles,5729293,medium
5729485,Gresham,45.49818,-122.43148,OR,051,110553,America/Los_Angeles,5729485,major
5730183,Happy Valley,45.44679,-122.53037,OR,005,18493,America/Los_Angeles,5730183,medium
5730675,Hayesville,44.98595,-122.98287,OR,047,19936,America/Los_Angeles,5730675,medium
5731070,Hermiston,45.84041,-119.28946,OR,059,17201,America/Los_Angeles,5731070,medium
5731371,Hillsboro,45.52289,-122.98983,OR,067,102347,America/Los_Angeles,5731371,major
5731777,Hood River,45.7054,-121.52146,OR,027,7624,America/Los_Angeles,5731777,medium
5732763,Independence,44.85123,-123.18677,OR,053,9227,America/Los_Angeles,5732763,medium
5733582,Jennings Lodge,45.39123,-122.61259,OR,005,7315,America/Los_Angeles,5733582,medium
5734198,Junction City,44.21929,-123.20565,OR,039,5842,America/Los_Angeles,5734198,medium
5734711,Keizer,44.99012,-123.02621,OR,047,37895,America/Los_Angeles,5734711,large
5734860,Kenton,45.58178,-122.68149,OR,051,7000,America/Los_Angeles,5734860,medium
5735238,Klamath Falls,42.22487,-121.78167,OR,035,21399,America/Los_Angeles,5735238,medium
5735537,La Grande,45.32458,-118.08772,OR,061,13074,America/Los_Angeles,5735537,medium
5735724,Lake Oswego,45.42067,-122.67065,OR,005,38496,America/Los_Angeles,5735724,large
5736218,Lebanon,44.53651,-122.90703,OR,043,16324,America/Los_Angeles,5736218,medium
