FAC,LOC,GPE,time,Latitude,Longitude,state_code,state_name,county_name,county_fips,city_name,city_id,population
,,Port Richey,2024-09-26 23:52:38+00:00,28.2716755,-82.7195451,FL,Florida,Pasco,12101,Port Richey,4169160,2761
,,"FL, GA, ga",2024-09-26 23:52:13+00:00,29.86135645,-81.29054056262245,FL,Florida,St. Johns,12109,Saint Augustine Beach,4170896,6176
,,Spartanburg,2024-09-26 23:52:09+00:00,34.9498007,-81.9320157,SC,South Carolina,Spartanburg,45083,Spartanburg,4597200,37867
,,Fla,2024-09-26 23:52:07+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:59:21+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:58:34+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Georgia,2024-09-26 02:57:36+00:00,32.3293809,-83.1137366,GA,Georgia,Dodge,13091,Chester,4187637,1568
,,Florida,2024-09-26 02:56:30+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"Alabama, Georgia",2024-09-26 02:55:02+00:00,34.453428,-86.9280617,AL,Alabama,Morgan,01103,Hartselle,4066449,14493
,,Florida,2024-09-26 02:54:14+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Raleigh,2024-09-26 02:54:05+00:00,35.7803977,-78.6390989,NC,North Carolina,Wake,37183,Raleigh,4487042,482295
,,Florida,2024-09-26 02:52:50+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 02:52:49+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,FLORIDA,2024-09-26 02:52:43+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
